instance_id,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-n3-mem-low-corr-low-seed-0,0,3,low,0.35,5,12,2.4,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4, 3, 3]","[8, 8, 8]",solved,True,ENHSP default,60.0,0.520339,0,37,16.0,16.0,18,12,3,3,4,16.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-low-corr-low-seed-0.txt,
rover-n3-mem-low-corr-medium-seed-0,0,3,low,0.35,5,12,2.4,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2, 1, 1]","[6, 6, 6]",solved,True,ENHSP default,60.0,0.42835,0,35,14.0,14.0,18,12,3,3,3,14.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-low-corr-medium-seed-0.txt,
rover-n3-mem-low-corr-high-seed-0,0,3,low,0.35,5,12,2.4,high,0,3,False,"[5, 5, 2]","[4, 5, 5]","[-1, -2, -2]","[3, 3, 3]",unsolvable,False,ENHSP default,60.0,0.438607,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-low-corr-high-seed-0.txt,
rover-n3-mem-medium-corr-low-seed-0,0,3,medium,0.6,8,12,1.5,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4, 3, 3]","[8, 8, 8]",solved,True,ENHSP default,60.0,0.460268,0,33,14.0,14.0,16,10,3,3,4,14.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-medium-corr-low-seed-0.txt,
rover-n3-mem-medium-corr-medium-seed-0,0,3,medium,0.6,8,12,1.5,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2, 1, 1]","[6, 6, 6]",solved,True,ENHSP default,60.0,0.432265,0,32,13.0,13.0,16,10,3,3,4,13.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-medium-corr-medium-seed-0.txt,
rover-n3-mem-medium-corr-high-seed-0,0,3,medium,0.6,8,12,1.5,high,0,3,False,"[5, 5, 2]","[4, 5, 5]","[-1, -2, -2]","[3, 3, 3]",unsolvable,False,ENHSP default,60.0,0.419014,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-medium-corr-high-seed-0.txt,
rover-n3-mem-high-corr-low-seed-0,0,3,high,1.0,12,12,1.0,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4, 3, 3]","[8, 8, 8]",solved,True,ENHSP default,60.0,0.448122,0,25,10.0,10.0,12,6,3,3,3,10.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-high-corr-low-seed-0.txt,
rover-n3-mem-high-corr-medium-seed-0,0,3,high,1.0,12,12,1.0,medium,3,0,True,"[5, 5, 2]","[4, 5, 5]","[2, 1, 1]","[6, 6, 6]",solved,True,ENHSP default,60.0,0.454385,0,25,10.0,10.0,12,6,3,3,2,10.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-high-corr-medium-seed-0.txt,
rover-n3-mem-high-corr-high-seed-0,0,3,high,1.0,12,12,1.0,high,0,3,False,"[5, 5, 2]","[4, 5, 5]","[-1, -2, -2]","[3, 3, 3]",unsolvable,False,ENHSP default,60.0,0.481535,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n3-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n3-mem-high-corr-high-seed-0.txt,
rover-n5-mem-low-corr-low-seed-0,0,5,low,0.35,8,22,2.75,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4, 3, 3, 5, 3]","[9, 8, 7, 10, 7]",solved,True,ENHSP default,60.0,0.545197,0,67,26.0,26.0,36,26,5,5,6,26.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-low-corr-low-seed-0.txt,
rover-n5-mem-low-corr-medium-seed-0,0,5,low,0.35,8,22,2.75,medium,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[2, 1, 1, 3, 1]","[7, 6, 5, 8, 5]",solved,True,ENHSP default,60.0,0.471985,0,63,24.0,24.0,34,24,5,5,6,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-low-corr-medium-seed-0.txt,
